water modifier,contents
catalyst,"hardness: 70.9ppm, alkalinity: 15ppm, mg: 12.2, ca: 8.2, k: 14.3, na: 3.9, cl: 58.7, hco3: 18.3 mg/l"
affinity,"hardness: 50.45ppm, alkalinity: 12.18ppm, mg: 12.25, na: 16.51, cl: 46.55, so4: 8.15, hco3: 14.86 mg/l"
